project,task,method,seed,accuracy,f1,run_name,eval_loss,model_path
NLP-Phase2,mrpc,lora,42,0.7034313725490197,0.6006309913845407,lora_mrpc_manual_seed42_050941,,
NLP-Phase2,mrpc,lora,1337,0.6862745098039216,0.6862745098039216,lora_mrpc_manual_seed1337_051211,,
NLP-Phase2,mrpc,lora,2024,0.6740196078431373,0.7865168539325843,lora_mrpc_manual_seed2024_051440,,
NLP-Phase2,sst2,lora,42,0.89125,0.89125,lora_sst2_manual_seed42_051709,,
NLP-Phase2,sst2,lora,1337,0.88375,0.8836174329822564,lora_sst2_manual_seed1337_054133,,
NLP-Phase2,sst2,lora,2024,0.8875,0.8873810462300805,lora_sst2_manual_seed2024_060613,,
NLP-Phase2,rte,lora,42,0.6245487364620939,0.5666666666666667,lora_rte_manual_seed42_062934,,
NLP-Phase2,rte,lora,1337,0.6209386281588448,0.6207606952394613,lora_rte_manual_seed1337_063355,,
NLP-Phase2,rte,lora,2024,0.6245487364620939,0.6245487364620939,lora_rte_manual_seed2024_063818,,
,mrpc,full_finetune,42,0.7205882352941176,0.8298507462686567,,0.9309512972831726,results/full_finetune_20251001_164533/full_ft_mrpc_seed42/final_model
,mrpc,full_finetune,1337,0.8455882352941176,0.8884955752212389,,0.4097062647342682,results/full_finetune_20251001_173755/full_ft_mrpc_seed1337/final_model
,mrpc,full_finetune,2024,0.8333333333333334,0.8790035587188612,,0.4044117629528045,results/full_finetune_20251001_181529/full_ft_mrpc_seed2024/final_model
,rte,full_finetune,42,0.4693140794223827,0.6370370370370371,,2.017486572265625,results/full_finetune_20251003_034934/full_ft_rte_seed42/final_model
,rte,full_finetune,1337,0.5234657039711191,0.6580310880829016,,1.080212116241455,results/full_finetune_20251003_041630/full_ft_rte_seed1337/final_model
,rte,full_finetune,2024,0.6931407942238267,0.6816479400749064,,0.6555166840553284,results/full_finetune_20251003_044300/full_ft_rte_seed2024/final_model
,sst2,full_finetune,42,0.9036697247706422,0.906040268456376,,0.7235373854637146,results/full_finetune_20251001_185252/full_ft_sst2_seed42/final_model
,sst2,full_finetune,1337,0.8440366972477065,0.8392434988179669,,0.4128798842430115,results/full_finetune_20251002_054948/full_ft_sst2_seed1337/final_model
,sst2,full_finetune,2024,0.8532110091743119,0.854875283446712,,0.698878288269043,results/full_finetune_20251002_165023/full_ft_sst2_seed2024/final_model
