task,method,seed,eval_accuracy,eval_f1,eval_loss,primary_metric,primary_metric_name,train_loss,train_runtime,run_id,run_name,project
mrpc,lora,42,0.8259803921568627,0.8798646362098139,0.39818596839904785,0.8798646362098139,f1,3.8504831599093032,349.0824,4v8m00qr,lora_mrpc_manual_seed42_204432,NLP-Phase2-LoRA-Rerun
mrpc,lora,1337,0.8333333333333334,0.8831615120274914,0.36511969566345215,0.8831615120274914,f1,3.3571886084545617,348.7397,8gh3m5kx,lora_mrpc_manual_seed1337_205144,NLP-Phase2-LoRA-Rerun
mrpc,lora,2024,0.8284313725490197,0.8809523809523809,0.37955376505851746,0.8809523809523809,f1,4.0330499232500445,350.2783,z2icptzc,lora_mrpc_manual_seed2024_205839,NLP-Phase2-LoRA-Rerun
sst2,lora,42,0.95125,0.9527272727272728,0.1592174768447876,0.95125,accuracy,1.2587502231398653,4356.0922,b9h9fgq6,lora_sst2_manual_seed42_210537,NLP-Phase2-LoRA-Rerun
sst2,lora,1337,0.9525,0.9541062801932368,0.15431919693946838,0.9525,accuracy,1.1890471014051205,4294.616,i2k3qhh6,lora_sst2_manual_seed1337_221942,NLP-Phase2-LoRA-Rerun
sst2,lora,2024,0.945,0.946731234866828,0.1597672402858734,0.945,accuracy,1.1761723909622583,4295.6132,evib5hzm,lora_sst2_manual_seed2024_233244,NLP-Phase2-LoRA-Rerun
rte,lora,42,0.7833935018050542,0.7761194029850746,0.493300348520279,0.7833935018050542,accuracy,3.660481434602004,703.4136,n0onm40z,lora_rte_manual_seed42_004547,NLP-Phase2-LoRA-Rerun
rte,lora,1337,0.7509025270758123,0.7183673469387755,0.4818917214870453,0.7509025270758123,accuracy,3.2334788273542356,705.0627,1lfppfwz,lora_rte_manual_seed1337_005828,NLP-Phase2-LoRA-Rerun
rte,lora,2024,0.8267148014440433,0.8181818181818182,0.4598694443702698,0.8267148014440433,accuracy,3.4779466604575133,701.3004,pftxyq24,lora_rte_manual_seed2024_011110,NLP-Phase2-LoRA-Rerun
mrpc,full_finetune,42,0.7205882352941176,0.8298507462686567,0.9308352470397949,0.8298507462686567,f1,,,,full_finetune_model_mrpc_seed42,local_evaluation
mrpc,full_finetune,1337,0.8455882352941176,0.8884955752212389,0.4089810848236084,0.8884955752212389,f1,,,,full_finetune_model_mrpc_seed1337,local_evaluation
mrpc,full_finetune,2024,0.8284313725490197,0.8754448398576512,0.4042034447193146,0.8754448398576512,f1,,,,full_finetune_model_mrpc_seed2024,local_evaluation
sst2,full_finetune,42,0.9025229357798165,0.9048152295632699,0.7231560349464417,0.9025229357798165,accuracy,,,,full_finetune_model_sst2_seed42,local_evaluation
sst2,full_finetune,1337,0.8440366972477065,0.8392434988179669,0.41287776827812195,0.8440366972477065,accuracy,,,,full_finetune_model_sst2_seed1337,local_evaluation
sst2,full_finetune,2024,0.8509174311926605,0.8529411764705882,0.6987650990486145,0.8509174311926605,accuracy,,,,full_finetune_model_sst2_seed2024,local_evaluation
rte,full_finetune,42,0.4693140794223827,0.6370370370370371,2.022636890411377,0.4693140794223827,accuracy,,,,full_finetune_model_rte_seed42,local_evaluation
rte,full_finetune,1337,0.5234657039711191,0.6580310880829016,1.082448124885559,0.5234657039711191,accuracy,,,,full_finetune_model_rte_seed1337,local_evaluation
rte,full_finetune,2024,0.6895306859205776,0.6791044776119403,0.654430627822876,0.6895306859205776,accuracy,,,,full_finetune_model_rte_seed2024,local_evaluation
